Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
DSP Nifty Midcap 150 Quality 50 ETF,Anil Ghelani,EQ-ETF,Unrated,97.7,0.3,Open Ended,23-Dec-21,NIFTY Midcap150 Quality 50 - TRI,251.26,266.01,200.94,-0.19,-6.14,-0.65,19.81,24.44,12.13,14.53,11.7,42,50,51216,6.94,75.05,17.97,Technology,2.63,6.63,6.88,11.72,1.05,1.64,0.8,14.78,Equity : ETFs,0.10% on or before 30D Nil after 30D
DSP Nifty Midcap 150 Quality 50 Index Fund-Reg(G),Anil Ghelani,EQ-INDX,Unrated,363.9,0.87,Open Ended,04-Aug-22,NIFTY Midcap150 Quality 50 - TRI,14.69,15.58,11.81,-0.26,-6.29,-0.99,19,23.65,9.91,5.25,11.3,46,50,51217,6.94,75.03,17.97,Technology,14.35,5.17,5.27,11.04,1.01,1.58,0.8,14.9,Equity : Index Funds,Nil
DSP NIFTY Next 50 Index Fund-Reg(G),Anil Ghelani,EQ-INDX,3,902.9,0.53,Open Ended,21-Feb-19,NIFTY NEXT 50 - TRI,26.6,29.99,20.57,-3.64,-11.81,-5.6,27.41,27.78,17.93,19.26,7.27,49,50,143043,88.16,11.75,34.65,Financials,5.26,1.96,7.19,16.98,1.13,1.64,1.14,20.14,Equity : Index Funds,Nil
DSP Nifty Private Bank ETF,Anil Ghelani,EQ-ETF,Unrated,236.3,0.15,Open Ended,27-Jul-23,Nifty Private Bank - TRI,25.45,27.48,22.58,-1.74,-5.98,-4.82,0.74,22.16,9.13,6.84,12.3,106,10,417377,83.3,13.6,3.08,Financials,0.01,5.31,6.68,-7.01,-0.12,-0.18,1.04,17.05,Equity : ETFs,Nil
DSP Nifty PSU Bank ETF,Anil Ghelani,EQ-ETF,Unrated,53,0.45,Open Ended,27-Jul-23,NIFTY PSU BANK - TRI,66.03,80.14,56.52,-3.96,-3.3,-10.62,14.1,14.58,5.8,5.19,7.57,163,12,188009,62.21,37.78,11.43,Financials,0.74,1.24,7.35,7.36,0.49,0.71,1.49,29.8,Equity : ETFs,Nil
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund-Reg(G),Shantanu Godambe,DT-M&LD,Unrated,2222.4,0.32,Open Ended,21-Mar-22,Nifty SDL Plus G-Sec Jun 2028 70:30 Index,11.87,11.87,10.99,0.49,1.39,4.05,8.04,7.8,6.35,6.49,9.62,0,10,135260,18.19,35.55,7.06,Financials,3.07,2.63,6.92,2.65,4.48,9.48,0.4,0.86,Debt : Medium to Long Duration,Nil
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund-Reg(G),Shantanu Godambe,DT-M&LD,Unrated,92.4,0.41,Open Ended,14-Feb-23,Nifty SDL Plus G-Sec Sep 2027 50:50 Index,11.54,11.54,10.68,0.54,1.43,3.9,8.06,37.23,11.83,14,8.79,0,36,95560,98.33,16.14,44.13,Financials,2.59,2.27,6.94,2.87,4.98,10.92,0.33,0.77,Debt : Medium to Long Duration,Nil
DSP Nifty Smallcap250 Quality 50 Index Fund-Reg(G),Anil Ghelani,EQ-INDX,Unrated,178.1,1,Open Ended,26-Dec-23,Nifty Smallcap250 Quality 50 - TRI,12.84,13.72,9.5,-0.55,-5.04,3.72,25.66,20.48,17.88,6.65,5.3,59,50,19113,47.7,13.12,86.71,Technology,13.66,0.01,7.75,17.21,1.07,1.6,0.96,20.64,Equity : Index Funds,Nil
DSP Nifty Top 10 Equal Weight ETF,Anil Ghelani,EQ-ETF,Unrated,244,0.15,Open Ended,05-Sep-24,Nifty Top 10 Equal Weight - TRI,94.97,100.17,91.54,-1.56,-4.6,0.86,28.27,9.07,18.47,16.87,6.86,10,10,797400,99.99,15.06,3.89,Financials,0.1,0.15,7.71,18.19,1.42,2.09,0.74,14.67,Equity : ETFs,Nil
DSP Nifty Top 10 Equal Weight Index Fund-Reg(G),Anil Ghelani,EQ-INDX,Unrated,1037.2,1,Open Ended,05-Sep-24,Nifty Top 10 Equal Weight - TRI,9.75,10.31,9.41,-1.65,-4.86,3.7,19.61,23.96,10.55,19.99,7.38,11,10,797401,100.05,35.51,14.62,Financials,1.4,1.12,7.23,0.25,29.74,1.86,0.37,13.2,Equity : Index Funds,Nil
