Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ITI Ultra Short Duration Fund-Reg(G),Rajesh Bhatia,DT-USD,Unrated,199.7,0.96,Open Ended,05-May-21,CRISIL Ultra Short Term Debt Index,1196.39,1196.39,1122.86,0.55,1.58,3.21,6.56,6.42,5.54,4.9,12.46,0,10,156660,83.85,13.61,3.75,Technology,0.3,0.27,7.07,2.42,9.18,18.66,0.03,0.27,Debt : Ultra Short Duration,Nil
ITI Value Fund-Reg(G),Rohan Korde,EQ-VAL,Unrated,311.4,2.35,Open Ended,14-Jun-21,NIFTY 500 - TRI,17.08,18.04,14.17,-0.33,-5.5,-3.07,18.46,27.75,20.05,10.89,6.56,136,67,80759,43.49,12.35,40,Financials,22.67,0.45,6.82,10,0.82,1.13,1.12,19.07,Equity : Value / Contra,1% on or before 3M Nil after 3M
JM Aggressive Hybrid Fund(G),Asit Bhandarkar,HY-EQ,Unrated,719.7,2.28,Open Ended,01-Apr-95,CRISIL Hybrid 35+65 - Aggressive Index,124.89,130.54,98.52,0.14,-3.86,0.02,26.79,30.33,22.78,24.29,12.91,116.16,48,86278,36.67,7.53,30.7,Financials,5.09,2.52,6.89,16.43,1.66,2.53,1.74,13.02,Hybrid : Equity Oriented,1% on or before 60D Nil after 60D
JM Arbitrage Fund(G),Asit Bhandarkar,HY-ARB,Unrated,177.8,1.06,Open Ended,18-Jul-06,Nifty 50 Arbitrage,31.65,31.65,29.55,0.61,1.77,3.26,7.08,6.9,5.93,4.6,5.28,1225.7,60,153449,50.35,15.78,6.98,Financials,0.14,6.6,8.02,3.25,2.88,6.4,-0.09,1.04,Hybrid : Arbitrage,0.50% on or before 30D
JM Dynamic Bond Fund-Reg(G),Killol Pandya,DT-DYN,Unrated,44.2,0.97,Open Ended,25-Jun-03,CRISIL Dynamic Bond Index,39.61,39.7,36.63,0.26,0.61,3.96,8,7.08,5.98,5.66,6.67,0,85,76844,37.39,16.47,53.1,Financials,10.08,6.74,6.92,0.83,2.01,3.52,1,1.89,Debt : Dynamic Bond,Nil
JM ELSS Tax Saver Fund(G),Chaitanya Choksi,EQ-ELSS,Unrated,183.5,2.39,Open Ended,31-Mar-08,BSE 500 - TRI,49.93,53.07,37.89,0.36,-6.2,1.17,29.6,30.97,20.08,21.82,15.87,112.19,61,75441,49.12,11.88,38.45,Financials,5.93,1.75,7.23,19.15,1.37,1.97,1.04,17.81,Equity : Tax Saving (ELSS),Nil
JM Flexicap Fund-Reg(G),Satish Ramanathan,EQ-FLEX,3,5012.2,1.81,Open Ended,23-Sep-08,BSE 500 - TRI,105.63,109.69,77.8,1.19,-4.13,0.76,33.49,37.3,26.77,24.61,17.3,119.56,64,93226,50.73,11.16,37.09,Financials,5.45,3.87,7.44,22.23,1.55,2.2,1.01,17.67,Equity : Flexi Cap,1% on or before 30D Nil after 30D
JM Focused Fund-Reg(G),Asit Bhandarkar,EQ-LC,Unrated,211.9,2.38,Open Ended,05-Mar-08,BSE 500 - TRI,20.86,21.56,16.39,0.88,-3.3,2.38,24.49,29.46,21.59,17.21,13.58,208.13,28,140785,56.31,18.46,19.89,Financials,0.35,6.74,7.09,15.27,1.21,1.79,0.96,16.68,Equity : Large Cap,1% on or before 30D Nil after 30D
JM Large Cap Fund-Reg(G),Satish Ramanathan,EQ-LC,Unrated,495.1,2.36,Open Ended,01-Apr-95,BSE 100 - TRI,155.68,168.7,132.07,-2.56,-8.22,-4.53,15.01,22.97,16.16,17.83,11.18,191,45,336939,86.5,5.13,5.72,Financials,4.49,0.66,7.46,6.5,0.72,1.02,1.07,16.58,Equity : Large Cap,1% on or before 30D Nil after 30D
JM Liquid Fund(G),Killol Pandya,DT-LIQ,2,3204.7,0.25,Open Ended,31-Dec-97,CRISIL Liquid Debt Index,68.91,68.91,64.27,0.57,1.72,3.5,7.23,7.09,6.34,5.25,6.3,0,63,19113,60.69,10.8,68.22,Technology,0.13,0.12,7.09,0.66,11.57,4.87,0.15,0.06,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
JM Low Duration Fund(G),Killol Pandya,DT-LOWD,4,231.2,0.73,Open Ended,27-Sep-06,CRISIL Low Duration Debt Index,35.66,35.66,33.24,0.59,1.7,3.61,7.31,6.94,5.99,9.24,6.28,0,30,180974,6.58,3.66,1.34,Financials,1.03,0.9,7.64,3.02,9.72,19.27,0.08,0.34,Debt : Low Duration,Nil
JM Medium to Long Duration Fund-Reg(G),Killol Pandya,DT-M&LD,Unrated,27.5,1.09,Open Ended,01-Apr-95,CRISIL Medium to Long Term Debt Index,59.16,59.28,54.76,0.26,0.64,3.83,7.94,7.21,4.98,5.26,3.95,0,44,161989,44.95,0.24,22.36,Financials,9.41,6.35,6.91,0.76,1.98,3.46,1.01,1.9,Debt : Medium to Long Duration,Nil
JM Midcap Fund-Reg(G),Satish Ramanathan,EQ-MID,Unrated,1696.3,2,Open Ended,21-Nov-22,Nifty Midcap 150 - TRI,19.9,20.86,14.46,2.15,-4.37,1.37,35.51,41.03,12.46,7.08,15.97,125.9,63,36051,3.71,64.61,31.12,Healthcare,2.97,3.2,7.37,24.52,1.58,2.27,0.92,18.49,Equity : Mid Cap,1% on or before 180D Nil after 180D
JM Overnight Fund-Reg(G),Killol Pandya,DT-ON,1,146.6,0.15,Open Ended,03-Dec-19,CRISIL Liquid Overnight Index,1272.03,1272.03,1193.74,0.55,1.6,3.21,6.58,6.58,5.92,4.84,7.21,0,51,48446,41.2,4.45,9.38,Financials,0.01,0.01,6.66,0.25,26.02,1.82,0.65,0.01,Debt : Overnight,Nil
JM Short Duration Fund-Reg(G),Killol Pandya,DT-SD,Unrated,124,1.08,Open Ended,29-Aug-22,CRISIL Short Duration Debt Index,11.52,11.52,10.77,0.48,1.37,3.66,7.01,6.54,18.51,20.66,6.21,0,50,152956,70.58,26.39,91.96,Financials,2.91,2.4,7.38,2.09,4.72,9.51,0.29,0.63,Debt : Short Duration,Nil
JM Small Cap Fund-Reg(G),Asit Bhandarkar,EQ-SML,Unrated,612.4,2.3,Open Ended,18-Jun-24,Nifty Smallcap 250 - TRI,10.75,11.06,9.79,1.45,-3.18,6.32,6.84,24.58,17.91,5.46,14.2,0,73,11196,98.52,5.33,89.61,Healthcare,0.01,2.17,7.04,2.75,9.26,21.58,0.03,12.09,Equity : Small Cap,1% on or before 180D Nil after 180D
JM Value Fund(G),Satish Ramanathan,EQ-VAL,3,1072.7,2.2,Open Ended,02-Jun-97,BSE 500 - TRI,102.29,110.82,81.29,-0.21,-7.29,-2.83,24.41,36.39,25.37,24.68,17.51,98.69,63,55418,39.55,11.74,47.93,Financials,0.11,2.27,6.63,15.65,1.13,1.61,1.01,18.3,Equity : Value / Contra,1% on or before 30D Nil after 30D
Kotak Balanced Advantage Fund-Reg(G),Rohit Tandon,HY-DYN,3,16958.8,1.66,Open Ended,03-Aug-18,NIFTY 50 Hybrid Composite Debt 50:50 Index,20.1,20.46,17.29,0.11,-2.04,3.49,14.67,15.67,11.65,12.21,8.78,265.22,99,246411,52.14,9.81,5.47,Financials,9.89,4.86,7.26,6.3,1.39,2.15,1.31,7.36,Hybrid : Dynamic Asset Allocation,Nil upto 8% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Banking & Financial Services Fund-Reg(G),Shibani Kurian,EQ-FIN,Unrated,1031,2.19,Open Ended,27-Feb-23,Nifty Financial Services - TRI,14.4,15.16,12.03,-1.71,-4.21,-0.25,12.82,18.22,19.15,5.13,9.39,34.56,28,283727,71.3,12,10.85,Financials,0.45,4.84,6.97,4.13,0.55,0.79,1.11,17.7,Equity : Sectoral - Financial Services,0.50% on or before 30D Nil after 30D
Kotak Banking and PSU Debt Fund(G),Deepak Agrawal,DT-B&PSU,4,5678.6,0.75,Open Ended,29-Dec-98,CRISIL Banking and PSU Debt Index,62.58,62.58,57.95,0.49,1.41,4.05,7.98,7.35,6.1,6.49,7.47,0,53,82218,62.2,86.58,37.27,Financials,5.55,3.64,7.43,2.65,4.48,8.07,0.42,0.87,Debt : Banking & PSU,Nil
Kotak Bluechip Fund(G),Rohit Tandon,EQ-LC,4,9497.9,1.75,Open Ended,04-Feb-03,NIFTY 100 - TRI,558.24,596.44,463.8,-1.07,-6.72,-0.07,16.78,20.33,14.09,16.94,12.87,30.99,61,333191,83.76,7.9,4.76,Financials,0.6,2.48,7.52,7.91,0.93,1.4,0.95,13.73,Equity : Large Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Bond Fund-Reg(G),Abhishek Bisen,DT-M&LD,3,2033.8,1.65,Open Ended,25-Nov-99,CRISIL Medium to Long Term Debt Index,73.71,73.81,67.99,0.35,0.54,3.74,8.22,7.43,5.49,6.12,6.59,0,60,76586,78.21,15.64,8.8,Financials,13.09,6.16,7.1,1.08,2.2,3.76,0.98,1.82,Debt : Medium to Long Duration,NIL
Kotak Bond Short Term Fund(G),Deepak Agrawal,DT-SD,4,16673,1.12,Open Ended,02-May-02,Nifty Short Duration Debt Index,49.92,49.92,46.34,0.47,1.4,3.93,7.71,7.07,5.7,6.03,6.91,0,50,195447,45.43,11.77,43.18,Automobile and Ancillaries,4.63,2.76,7.47,2.57,5.11,10.58,0.36,0.71,Debt : Short Duration,Nil
Kotak BSE Housing Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,18.5,0.72,Open Ended,28-Aug-23,BSE Housing - TRI,14.31,15.04,11.34,1.61,-5.86,-4.75,19.75,7.37,6.87,6.31,5.28,54.12,24,86873,38.43,58.28,3.17,Construction,6.9,9.95,6.89,11.11,0.86,1.29,1.05,19.11,Equity : Index Funds,Nil
Kotak BSE PSU Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,72.3,1.05,Open Ended,31-Jul-24,BSE PSU - TRI,8.45,10,8.23,-4.93,-11.15,2.75,8.82,6.96,19.97,6.5,5.99,8.39,59,193605,74.89,21.64,3.38,Energy,7.62,6.16,6.02,2.14,2.13,3.29,0.97,10.94,Equity : Index Funds,Nil
Kotak BSE Sensex ETF,Devender Singhal,EQ-ETF,Unrated,27.3,0.18,Open Ended,06-Jun-08,BSE SENSEX - TRI,86.23,92.47,75.21,-1.65,-6.72,-0.89,9.64,15.43,12.2,14.97,12.13,13.6,30,684539,99.26,0.72,3.17,Financials,0.21,6.63,7.19,1.59,0.45,0.7,0.99,13.87,Equity : ETFs,NIL
Kotak Business Cycle Fund-Reg(G),Harish Bihani,EQ-THEM,Unrated,2675.7,1.95,Open Ended,28-Sep-22,NIFTY 500 - TRI,16.04,16.63,12.11,0.85,-3.57,5.44,28.12,26.07,16.78,13.14,18.52,44.51,54,91696,47.42,22.36,28.86,Financials,26.86,9.94,6.78,18.04,1.65,2.49,0.84,13.56,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Consumption Fund-Reg(G),Devender Singhal,EQ-CONS,Unrated,1110.5,2.15,Open Ended,16-Nov-23,Nifty India Consumption - TRI,13.78,14.92,10.24,0.13,-7.31,8.11,26.82,6.93,12.13,5.22,6.63,29.83,40,92368,58.62,4.74,33.78,FMCG,1.22,2.25,14.04,18.04,1.67,2.91,0.64,12.7,Equity : Thematic - Consumption,0.50% on or before 90D Nil after 90D
Kotak Corporate Bond Fund(G),Deepak Agrawal,DT-CORP,2,14332.8,0.67,Open Ended,21-Sep-07,NIFTY Corporate Bond Index,3604.56,3604.8,3330.23,0.49,1.45,4.2,8.25,7.54,6.24,6.39,7.43,0,124,108228,43.81,14.62,21.87,Financials,4.99,3.3,7.47,2.92,5.21,9.96,0.41,0.79,Debt : Corporate Bond,Nil
Kotak Credit Risk Fund(G),Deepak Agrawal,DT-CR,3,749.6,1.71,Open Ended,11-May-10,CRISIL Credit Risk Debt Index,28.09,28.15,26.24,0.21,1.17,2.67,7.08,6.81,4.82,5.24,6.73,0,50,395939,71.01,5.91,11.85,Financials,2.86,2.24,8.5,2.17,1.71,2.14,0.32,1.82,Debt : Credit Risk,Nil upto 6% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak CRISIL-IBX AAA Financial Services Index - Sep 2027 Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,409.4,0.4,Open Ended,13-Sep-24,CRISIL IBX AAA Financial Services Index - Sep 2027,10.25,10.25,10,0.62,1.92,-1.31,14.52,13.8,15.85,13.92,9.36,0,20,199228,99.27,8.37,29.5,Automobile and Ancillaries,2.5,2.11,7.77,6.9,0.99,1.66,0.06,13.9,Debt : Medium to Long Duration,0.25% on or before 30D Nil after 30D
Kotak Debt Hybrid Fund(G),Shibani Kurian,HY-DT(CO),5,3034.6,1.66,Open Ended,02-Dec-03,CRISIL Hybrid 85+15 - Conservative Index,56.88,57.59,50.84,-0.01,-1.52,3.31,11.3,12.74,9.9,11.26,9.53,0,45,160082,18.31,1.84,3.85,Financials,14.9,7.01,7.2,3.18,1.47,2.16,1.38,4.95,Hybrid : Debt Oriented (Conservative),Nil upto 8% of investments and 1% for remaining investments on or before 6M Nil after 6M
Kotak Dynamic Bond Fund-Reg(G),Deepak Agrawal,DT-DYN,4,3013.9,1.33,Open Ended,28-May-08,NIFTY Composite Debt Index,35.96,36.07,32.91,0.25,-0.01,3.91,9.21,7.82,6.03,6.53,7.73,0,73,143043,66.78,6.34,31.42,Financials,18.83,8.69,7.19,1.61,2.14,3.54,1.15,2.36,Debt : Dynamic Bond,Nil
Kotak ELSS Tax Saver Fund(G),Harsha Upadhyaya,EQ-ELSS,3,6232.3,1.76,Open Ended,23-Nov-05,NIFTY 500 - TRI,116.92,123.71,93.38,-0.3,-5.64,-0.6,22.21,23.15,17.68,19.81,14.58,36.03,56,161989,65.6,16.74,15.93,Financials,0.01,6.6,6.99,12.73,1.14,1.63,0.99,15.6,Equity : Tax Saving (ELSS),Nil
Kotak Emerging Equity Fund(G),Atul Bhole,EQ-MID,4,52048.9,1.42,Open Ended,30-Mar-07,Nifty Midcap 150 - TRI,136.01,137.75,98.71,1.53,-1.7,5.21,34.17,33.22,23.18,27.05,18.49,47.7,65,55893,12.51,67.79,15.41,Technology,4.15,3.59,7.04,22.73,1.69,2.52,0.9,16.19,Equity : Mid Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Equity Arbitrage Fund(G),Hiten Shah,HY-ARB,4,54915.4,1.01,Open Ended,29-Sep-05,Nifty 50 Arbitrage,36.25,36.25,33.65,0.69,1.91,3.54,7.8,7.61,6.58,5.58,6.03,2124.14,204,221159,57.5,14.51,2.96,Financials,0.2,0.2,7.25,3.86,3.59,8.17,-0.07,1.01,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
Kotak Equity Hybrid Fund(G),Atul Bhole,HY-EQ,5,6815.5,1.76,Open Ended,03-Nov-14,NIFTY 50 Hybrid Composite Debt 65:35 Index,61.89,63.32,49.87,-0.08,-3.01,3.82,21.9,21.5,15.85,18.03,13.08,68.88,60,146119,43.56,23.5,9.33,Financials,14.75,7.07,7.07,10.96,1.48,2.16,2.06,11.51,Hybrid : Equity Oriented,Nil upto 8% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Equity Opp Fund(G),Harsha Upadhyaya,EQ-L&M,3,25648.5,1.59,Open Ended,09-Sep-04,NIFTY LargeMidcap 250 - TRI,339.25,355.58,265.83,-0.28,-5.3,-0.15,24.38,27.42,20.36,21.26,15.59,25.22,68,158922,55.81,34.82,6.23,Financials,4.99,0.45,6.48,14.69,1.25,1.8,0.98,15.79,Equity : Large & Mid Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Equity Savings Fund(G),Devender Singhal,HY-EQ,2,7973.6,1.76,Open Ended,13-Oct-14,NIFTY 50 Equity Savings Index - TRI,25.43,25.75,22.53,-0.29,-1.44,2.84,11.53,13.89,11.54,11.16,9.4,459.67,94,181850,49.95,8.87,8.53,Financials,1.78,1.2,7.26,4.99,1.25,1.83,0.84,6.02,Hybrid : Equity Oriented,Nil upto 8% of investments and 1% for remaining investments on or before 90D Nil after 90D
Kotak ESG Exclusionary Strategy Fund-Reg(G),Mandar Pawar,EQ-THEM,Unrated,940.4,2.25,Open Ended,11-Dec-20,NIFTY100 ESG - TRI,16.75,18.25,14.41,-2.22,-8.74,-3.01,12.65,17.14,10.81,10.89,14.21,14.62,42,259522,83.85,12.05,3.26,Financials,2.92,0.41,4.4,4.21,0.64,0.97,0.95,14.13,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Flexicap Fund(G),Harsha Upadhyaya,EQ-FLEX,2,51275.7,1.47,Open Ended,11-Sep-09,NIFTY 500 - TRI,80.82,85.84,67.16,-1.29,-6.1,-2.36,16.81,20.85,15.5,16.42,13.64,17.26,59,231993,70.39,22.51,5.47,Financials,6.27,0.44,7.36,7.84,0.83,1.2,1.02,15.61,Equity : Flexi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Floating Rate Fund-Reg(G),Deepak Agrawal,DT-FL,4,3772.4,0.63,Open Ended,14-May-19,NIFTY Ultra Short Duration Debt Index,1445.52,1445.9,1336.92,0.58,1.85,4.24,8.17,7.71,6.27,6.82,6.75,0,101,58953,79.17,9.33,13.96,Financials,5.93,1.57,7.85,3.88,8.12,18.43,0.08,0.51,Debt : Floater,Nil
Kotak FMP-292-1735D(G),Deepak Agrawal,DT-FMP,Unrated,441.8,0.22,Closed Ended,13-Aug-21,CRISIL Composite Bond Index,12.05,12.05,11.18,0.55,1.55,3.79,7.75,7.35,5.63,45.15,7.15,30.1,79,135296,67.31,12.86,15.81,Financials,1,0.01,7.26,3.18,5.9,14.68,0.16,0.62,Debt : FTP/FMP,Nil
Kotak FMP-292-1735D(IDCW),Deepak Agrawal,DT-FMP,Unrated,441.8,0.35,Closed Ended,13-Aug-21,NIFTY Medium to Long Duration Debt Index,12.05,12.05,11.18,0.55,1.55,3.79,7.75,7.35,5.63,6.3,10.93,0,59,127197,6.43,10.54,3.17,Capital Goods,0.39,2.53,7.09,3.18,5.9,14.68,0.16,0.62,Debt : FTP/FMP,Nil
Kotak FMP-300-1223D(G),Deepak Agrawal,DT-FMP,Unrated,240.1,2.09,Closed Ended,09-Dec-22,NIFTY Medium Duration Debt Index,11.55,11.55,10.72,0.65,1.63,3.89,7.75,7.32,6.16,6.44,7.23,711,44,60614,55.21,36.54,22.13,Financials,9.03,1.05,7.25,2.97,5.38,11.79,0.23,0.68,Debt : FTP/FMP,Nil for 15% of Units For excess of limits 1% on or before 12M and 0.50% after 12M but on or before 18M Nil after 18M
Kotak FMP-304-3119D(G),Deepak Agrawal,DT-FMP,Unrated,109.4,1.07,Closed Ended,30-Dec-22,NIFTY Long Duration Debt Index,11.88,11.89,10.78,0.54,1.11,5.01,10.04,8.96,6.17,8.23,11.02,111,60,555827,88.16,22.36,10.42,Financials,13.43,0.01,7.35,2.65,2.78,5.13,1.03,2.05,Debt : FTP/FMP,0.10% upto 30D Nil after 30D
Kotak FMP-305-1200D(G),Deepak Agrawal,DT-FMP,Unrated,33.6,1.88,Closed Ended,19-Jan-23,NIFTY Medium Duration Debt Index,11.49,11.49,10.68,0.65,1.61,3.82,7.64,15.73,32.92,5.03,14.37,26,138,51216,47.72,16.47,29.51,Technology,0.67,0.84,7.34,2.9,5.38,11.65,0.22,0.66,Debt : FTP/FMP,Nil
Kotak FMP-308-1125D(G),Deepak Agarwal,DT-FMP,Unrated,93.4,2.03,Closed Ended,29-Mar-23,NIFTY Medium Duration Debt Index,11.43,11.43,10.56,0.65,1.98,4.3,8.19,7.85,6.14,18.03,7.47,45.88,50,158242,68.65,13.25,12.66,Financials,6.12,2.11,7.29,3.73,8.76,17.07,0.14,0.47,Debt : FTP/FMP,0.25% on or before 30D Nil after 30D
Kotak FMP-310-1131D(G),Deepak Agrawal,DT-FMP,Unrated,124.9,0.15,Closed Ended,27-Mar-23,NIFTY Medium Duration Debt Index,11.32,11.32,10.52,0.63,1.59,3.81,7.59,7.31,5.97,17.07,12.9,42.54,55,188391,79.17,3.45,4.41,Financials,4.23,0.05,7.09,2.82,5.18,11.27,0.23,0.68,Debt : FTP/FMP,Nil
Kotak Focused Equity Fund-Reg(G),Shibani Kurian,EQ-MLC,Unrated,3558.4,1.89,Open Ended,16-Jul-19,NIFTY 500 - TRI,24.35,26.41,20.36,-1.91,-7.54,-1.38,16.84,20.48,13.87,17.2,11.53,38.98,29,247971,78.82,11.72,6.93,Financials,0.13,0.43,7.08,8.04,0.89,1.32,0.97,14.57,Equity : Multi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Gilt Fund-PF&Trust(G),Abhishek Bisen,DT-GILT,3,4398.4,1.48,Open Ended,11-Nov-03,Nifty All Duration G-Sec Index,95.2,95.63,87.85,0.27,-0.29,3.57,8.22,7.66,5.89,6.5,7.22,0,65,122565,64.9,27.58,91.96,Financials,26.86,10.79,7.09,-0.15,1.49,2.42,1.4,2.7,Debt : Gilt,Nil
Kotak Gilt Fund-Reg(G),Abhishek Bisen,DT-GILT,3,4398.4,1.48,Open Ended,29-Dec-98,Nifty All Duration G-Sec Index,93.06,93.47,85.87,0.27,-0.29,3.57,8.21,7.66,5.89,6.5,7.21,0,50,203387,38.99,13.27,12.37,FMCG,26.86,10.79,7.09,-0.15,1.49,2.41,1.4,2.7,Debt : Gilt,Nil
Kotak Global Emerging Mkt Fund(G),Arjun Khanna,FOF-OVR,Unrated,87.9,1.62,Open Ended,26-Sep-07,MSCI Emerging Market Index,22.12,24.41,20.1,-1.05,-6.97,-1.28,5.87,8.27,-0.09,5.08,5.04,3.39,30,212748,77.84,7.1,11.4,Financials,7.45,0.01,7.36,-0.96,0.22,0.36,1.18,12.32,FoFs : Overseas,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Global Innovation FoF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,629.6,1.58,Open Ended,29-Jul-21,MSCI AC World Index,10.44,11.01,8.46,-2.86,2.6,8.43,19.55,25.28,2.94,5.54,6.28,0,64,121761,45.43,1.24,3.1,Financials,4.7,2.82,7.28,15.32,1.04,1.69,0.41,15.9,FoFs : Overseas,1% on or before 1Y Nil after 1Y
Kotak Gold ETF,Abhishek Bisen,GOLD-ETF,Unrated,5176.8,0.55,Open Ended,27-Jul-07,Gold-India,64.65,67.25,52.34,-0.16,1.29,6.31,19.89,16.39,15.63,13.29,9.83,17.7,1,610616,37.77,4,3.15,Financials,9.94,0.09,7.41,16.1,1.23,1.85,-0.05,12.93,Gold : ETFs,Nil
Kotak Gold Fund(G),Abhishek Bisen,GOLD-MF,Unrated,2250.5,0.5,Open Ended,25-Mar-11,Gold-India,30.07,31.12,24.29,0.42,1.12,6.03,19.52,16.43,15.09,12.97,9.72,1.3,1,86873,6.44,28.46,22.7,Construction,6.75,2.47,7.89,13.61,1.17,1.88,0.49,12.89,Gold : MFs,1% on or before 15D Nil after 15D
Kotak Healthcare Fund-Reg(G),Shibani Kurian,EQ-PHRM,Unrated,418.7,2.39,Open Ended,11-Dec-23,Nifty Healthcare Index - TRI,14.42,14.42,10.33,3.98,3.05,23.68,39.94,23.49,20.69,16.01,11.86,38.52,28,57602,37.19,29.01,32.94,Healthcare,0.2,3.01,6.8,28.95,2.35,4.18,0.46,13.34,Equity : Sectoral - Pharma,0.50% on or before 30D Nil after 30D
Kotak Income Plus Arbitrage FOF-Reg(G),Abhishek Bisen,FOF-DOM,Unrated,85.6,0.3,Open Ended,17-Nov-22,NIFTY Composite Debt Index,11.82,11.82,10.85,0.6,0.47,4.28,8.99,8.32,12.94,17.53,13.35,26,50,108228,58.77,14.76,32.85,Financials,0.01,4.88,6.46,2.17,2.16,3.28,0.92,2.28,FoFs : Domestic,Nil
Kotak India EQ Contra Fund(G),Shibani Kurian,EQ-VAL,2,4034.3,1.87,Open Ended,27-Jul-05,NIFTY 500 - TRI,148.69,158.68,119.39,-1.35,-6.74,-0.53,22.2,29.12,21.62,21.67,15.47,42.77,66,143140,59.94,14.85,22.02,Financials,6.02,2.11,7.59,13.03,1.16,1.68,1,15.67,Equity : Value / Contra,1% on or before 90D Nil after 90D
Kotak Infra & Eco Reform Fund(G),Nalin Rasik Bhatt,EQ-INFRA,3,2395.3,1.98,Open Ended,25-Feb-08,Nifty Infrastructure - TRI,68.56,72.77,51.21,0.67,-6.28,-3.94,32.53,34.88,28.41,27.56,16.28,23.09,53,45623,32.88,21.4,44.91,Automobile and Ancillaries,3.88,4.51,7.16,21.6,1.45,2.05,1,18.42,Equity : Sectoral - Infrastructure,0.50% on or before 90D Nil after 90D
Kotak International REIT FOF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,54.2,1.39,Open Ended,29-Dec-20,S&P Asia Pacific ex Japan REIT - TRI,9.37,10.76,8.73,-4.62,-12.87,5.48,-3.7,0.53,-3.39,20.98,15.47,4.58,50,311311,45.59,13.15,19.84,Financials,15.12,5.53,7.1,-13.05,-0.4,-0.69,2.03,17.55,FoFs : Overseas,Nil upto 8% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Liquid Fund-Reg(G),Deepak Agrawal,DT-LIQ,4,34539.1,0.31,Open Ended,04-Nov-03,Nifty Liquid Fund Index,5102.19,5102.19,4756.07,0.58,1.72,3.52,7.3,7.12,6.33,5.25,6.26,0,10,323010,54.31,57.6,3.41,FMCG,0.15,0.15,7.23,1.31,9.15,10.97,1.19,0.14,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Kotak Long Duration Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,178.4,0.62,Open Ended,11-Mar-24,NIFTY Long Duration Debt Index,10.65,10.69,9.89,0.48,-0.28,3.6,9.52,6.51,10.44,14.38,14.92,0,30,100811,36.67,16.98,34.92,Financials,27.67,11.64,7.09,1.13,0.44,0.67,0.94,19.13,Debt : Long Duration,Nil
Kotak Low Duration Fund(G),Deepak Agrawal,DT-LOWD,5,12509.5,1.17,Open Ended,06-Mar-08,CRISIL Long Duration Debt Index,3218.89,3218.89,3000.02,0.59,1.77,3.6,7.32,7.01,5.96,5.83,7.02,0,12,201451,47.79,15.93,4.18,Financials,1.71,0.98,7.85,3.1,9.82,18.97,0.06,0.33,Debt : Low Duration,Nil
Kotak Manufacture in India Fund-Reg(G),Harsha Upadhyaya,EQ-THEM,Unrated,2452.6,1.96,Open Ended,22-Feb-22,Nifty India Manufacturing - TRI,18.68,19.84,14.47,1.22,-6.41,-2.11,26.52,29.62,38.46,16.48,5.7,27.35,59,90657,55.55,26.35,15.08,Automobile and Ancillaries,5.26,6.57,7.38,16.53,1.3,1.9,0.96,16.43,Equity : Thematic,0.50% on or before 90D Nil after 90D
